id,trigger,conditions,script,text,options,notes,
vulp_turnInOptionSelChurch_Abomination,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_church
$vulp_luddicEthosAbomination",FireAll PopulateVulpoidsTurnInOptions,"""You were right to bring them to me. I shall contact the Knight Commander to take possession of these abominations so that they may be properly cleansed.""",,,
vulp_turnInOptionSelChurch_Sinful,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_church
$vulp_luddicEthosSinful",FireAll PopulateVulpoidsTurnInOptions,"""I appreciate you bringing them to me. We will take custody of these spawn of Moloch, and have them seek absolution for the sin of their creation.""",,,
vulp_turnInOptionSelChurch_Neutral,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_church
$vulp_luddicEthosNeutral",FireAll PopulateVulpoidsTurnInOptions,"""Thank you bringing them here. We will open our homes and hearts to these daughters of Moloch, and pray deeply that the light of Ludd may one day reach them.""",,,
vulp_turnInOptionSelChurch_Virtuous,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_church
$vulp_luddicEthosVirtuous",FireAll PopulateVulpoidsTurnInOptions,"""It is a good deed you have done, bringing these virtuous beings to me. I will ensure that their service is spent in the name of holy Ludd, blessed be his name.""",,,
vulp_turnInOptionSelChurch_Angelic,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_church
$vulp_luddicEthosAngelic",FireAll PopulateVulpoidsTurnInOptions,"""Bless you for bringing these angels to my door! I shall ensure that these holy servants are protected from those who would do them harm, and are kept free to do their holy work.""",,,
vulp_turnInOptionSelPath,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == luddic_path",FireAll PopulateVulpoidsTurnInOptions,"""Blessed be the path that brought you here. The execution of these abominations will serve as a demonstration to those who would stray from the Path of Ludd.""",,,
vulp_turnInOptionSelDiktat,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == sindrian_diktat",FireAll PopulateVulpoidsTurnInOptions,"""A fascinating beast you have there. I can think of a number of uses for that thing... that benefit the Great Cause, of course. Your loyalty will be rewarded.""
OR
""It's good that you came directly to me, beasts such as these require a firm hand. It shall learn to serve the Lion, whether through loyalty or labor.""",,,
vulp_turnInOptionSelTriTachyon,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == tritachyon",FireAll PopulateVulpoidsTurnInOptions,"""I wouldn't dream of purchasing the competition's products,"" $heOrShe says before disabling the comms record. ""There, much better. You can name your price.""",,,
vulp_turnInOptionSelPerseanKazeron,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == persean
$market.id == kazeron",FireAll PopulateVulpoidsTurnInOptions,"""Excellent work, citizen. The polity of Kazeron, and of course the Persean League as a whole, greatly appreciates your efforts in bringing these valuable entities to us.""
OR
""Excellent work, citizen. The polity of Kazeron, and of course the Persean League as a whole, greatly appreciates your efforts in bringing these desirable entities to us.""",,,
vulp_turnInOptionSelPerseanNotKazeron,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == persean
$market.id != kazeron",FireAll PopulateVulpoidsTurnInOptions,"""Excellent work, citizen. We can hope that treasures such as these will one day bring us to a truly independent Persean Sector.""",,,
vulp_turnInOptionSelPirate,DialogOptionSelected,"$option == vulp_startTurnIn
$faction.id == pirates",FireAll PopulateVulpoidsTurnInOptions,"""What a pretty little thing. I'd be more than happy to give a sweetheart like that a lovin' home.""
OR
""These ones still do chores for ya, right? Actually, don't matter. I can persuade 'em.""",,,
vulp_playerHasOption,PopulateVulpoidsTurnInOptions,,,,0:vulp_selectVulpoids:Select Vulpoids to turn in,,
vulp_neverMindOption,PopulateVulpoidsTurnInOptions,,,,"100:vulp_neverMind:""Never mind, I don't actually have any.""",,
vulp_neverMindOptionSelected,DialogOptionSelected,$option == vulp_neverMind,FireAll PopulateOptions,,,,
vulp_turnInOptionSelected,DialogOptionSelected,$option == vulp_selectVulpoids,TurnInVulpoids selectVulpoids,,,,
vulp_turnInResponseDefault,VulpoidsTurnedIn,,FireAll PopulateOptions,$PersonRank $personLastName thanks you and the conversation moves on to other matters.,,,
vulp_turnInResponseHegemony,VulpoidsTurnedIn,$faction.id == hegemony,FireAll PopulateOptions,$PersonRank $personLastName thanks you on behalf of the Hegemony Council and the conversation moves on to other matters.,,,
vulp_turnInResponseLuddicChurch,VulpoidsTurnedIn,$faction.id == luddic_church,FireAll PopulateOptions,$PersonRank $personLastName says a quick prayer and thanks you on behalf of the Church.,,,
vulp_turnInResponseLuddicPath,VulpoidsTurnedIn,$faction.id == luddic_church,FireAll PopulateOptions,$PersonRank $personLastName says a quick prayer and thanks you for your righteous act.,,,
vulp_turnInResponseDiktat,VulpoidsTurnedIn,$faction.id == sindrian_diktat,FireAll PopulateOptions,$PersonRank $personLastName salutes in an energetic display of loyalty to the Sindrian Cause before allowing you to turn to other matters.,,,
vulp_turnInResponseTriTachyon,VulpoidsTurnedIn,$faction.id == tritachyon,FireAll PopulateOptions,"$personName smiles like a carnivorous animal you saw in a holodoc once. ""It's a deal.""",,,
vulp_turnInResponseLeagueKazeron,VulpoidsTurnedIn,"$faction.id == persean
$market.id == kazeron",FireAll PopulateOptions,$PersonRank $personLastName verifies the transfer before moving the conversation to other matters.,,,
vulp_turnInResponseLeagueOther,VulpoidsTurnedIn,"$faction.id == persean
$market.id != kazeron",FireAll PopulateOptions,$PersonRank $personLastName thanks you for your devotion to the cause of an independent Persean Sector.,,,
vulp_turnInResponsePirate,VulpoidsTurnedIn,$faction.id == pirates,FireAll PopulateOptions,"$personName pulls out a bottle of something and takes a celebratory swig. ""Today's a good one!""
OR
$personName licks $hisOrHer lips uncomfortably. ""Good deal. I'm looking forward to this.""",,,
,,,,,,,
,,,,,,,
,,,,,,,
# Kanta Gifts,,,,,,,
,,,,,,,
kpVulpoid,KPFindGifts,"PlayerHasCargo vulpoids 1000
$kpNumGifts < 5
$kpNumGifts++",,,kpVulpoid:A thousand Vulpoids,,
kpVulpoidSel,DialogOptionSelected,$option == kpVulpoid,"ResetVulpoidPortrait vulp_dummy_terran
SetImportantVulpoidName vulp_dummy_terran ""Vulpoids""
ShowThirdPerson vulp_dummy_terran
RemoveCommodity vulpoids 1000
VulpoidPopulation setAtLeast 3","Kanta's synthetic voice booms out, ""YES. They shall serve most delightfully as playthings for my Cydonia, his experiments shall amuse us."" With a creak of metal and clatter of beads and trophies, Kanta turns to look upon Cydonia.

His face is one of pure, sinister glee. ""Yes, yes, my queen. Oh, there is great potential in this, I can assure you...""

Kanta nods with satisfaction as Cydonia gazes into the distance, apparently preoccupied with new ideas.",kpVulpoidLeave:Continue,,
kpVulpoidLeave,DialogOptionSelected,$option == kpVulpoidLeave,"HideThirdPerson
$option = kpLeaveProt
FireBest DialogOptionSelected ",,,,
kpVulpoidShiny,KPFindGifts,"VulpoidPicker hasVulpoid
$kpNumGifts < 5
$kpNumGifts++",,,kpVulpoidShiny:A Profecto Vulpoid,,
kpVulpoidShinyPick,DialogOptionSelected,$option == kpVulpoidShiny,"VulpoidPicker selectRemoveVulpoid ""Select a Vulpoid to offer as tribute to Kanta""
$vulpoidselectedoption = kanta",,,,
kpVulpoidShinySel,VulpoidSelected,$vulpoidselectedoption == kanta,"ResetVulpoidPortrait $global.selectedVulpoid
SetVulpoidExpression $global.selectedVulpoid fear
ShowThirdPersonFromMemory $global.selectedVulpoid
AdjustRepPerson $global.selectedVulpoid INHOSPITABLE -200","$global.selectedVulpoidName is brought into the court, and Cydonia immediately begins circling around her like a fighter on an attack run, studying her from every angle. Kanta quietly nods along as $global.selectedVulpoidName fearfully elaborates on her rarity, and gives benchmarks for her cognitive ability.

When the explaination concludes, Cydonia looks eagerly at back at Kanta, his enthusiasm palpable.",kpVulpoidShiny1:Continue,,
kpVulpoidShinySel1,DialogOptionSelected,$option == kpVulpoidShiny1,,"After a brief pause, Kanta's voice booms out, ""WE ACCEPT."" Her gaze turns to Cydonia, and she warns, ""It shall stay in one piece.""

The 'doctor' flinches at this accusation, but his excitement is still evident as he directs the Profecto towards his laboratory.",kpVulpoidShinyLeave:Continue,,
kpVulpoidShinyLeave,DialogOptionSelected,$option == kpVulpoidShinyLeave,"HideThirdPerson
ResetVulpoidPortrait $global.selectedVulpoid
SetVulpoidExpression $global.selectedVulpoid angry
SetVulpoidClothing $global.selectedVulpoid nude
MovePersonFromMemoryToMarket $global.selectedVulpoid
SetPersonFaction $global.selectedVulpoid pirates
SetPersonRank $global.selectedVulpoid vulp_testSubject
SetPersonMemory $global.selectedVulpoid ""$isCydoniaVulpoid"" ""boolean"" true
$option = kpLeaveProt
FireBest DialogOptionSelected ",,,,
,,,,,,,
vulp_kantaVulpCommsFirstTime,PickGreeting,"$isCydoniaVulpoid score:1000
!$didFirstTime","ShowPersonVisual
$didFirstTime = true","After a short wait, your connection request is accepted.

""Oh, it's you. I'm doing alright, still in one piece, ha-ha. I don't suppose you're here to tell me I get to leave? Thought not.""",0:cutCommLink:Cut the comm link,,
vulp_kantaVulpComms,PickGreeting,$isCydoniaVulpoid score:1000,ShowPersonVisual,"After a short wait, your connection request is accepted.

""Yep, I'm still alive. Did you actually want anything?""",0:cutCommLink:Cut the comm link,,
vulp_kantaVulpCommsLaisa,PickGreeting,"$isCydoniaVulpoid score:1000
$id == laisa score:1000
!$didFirstTime","ShowPersonVisual
$didFirstTime = true","After a short wait, your connection request is accepted.

""Oh, it's you. I'm doing alright, still in one piece, ha-ha. And here I though I was finally done being experimented on.""",0:cutCommLink:Cut the comm link,# You horrible person lol,
vulp_kantaVulpCommsLaisaFirstTime,PickGreeting,"$isCydoniaVulpoid score:1000
$id == laisa score:1000",ShowPersonVisual,"After a short wait, your connection request is accepted.

""Yep, I'm still alive. Did you actually want anything?""",0:cutCommLink:Cut the comm link,,
,,,,,,,
,,,,,,,
,,,,,,,
# Arroyo - swapping out two bits of dialog so he's got Vulpoid servants too.,,,,,,,
,,,,,,,
vulp_gaKAArroyoVisit2,DialogOptionSelected,"$option == gaKA_arroyoVisit2
$global.exportedVulpoids",,"A human and a Vulpoid servant greet you placidly as you arrive and lead you inside to a grand parlor done in dark geometric style. Gold inlay gleams in onyx tabletops, and the polished granite floor is set with tastefully patterned jewel-tone carpets placed slightly askew.

The view from the flawless sweep of diamond-matrix bay window is, as Arroyo promised, spectacular.",gaKA_arroyoVisit3:Continue,,
vulp_gaKAArroyoVisitLeave0,DialogOptionSelected,"$option == gaKA_arroyoLeave
$global.exportedVulpoids",AddPotentialContact,"You've got what you needed from Rayan Arroyo, and with no signal on his part that you can discern, his human and Vulpoid servants appear once more.

""I won't say it's been a pleasure, but if you ever have more credits than you know what to do with or, hmm, a truly exceptional business opportunity, let's trade cryptokeys now so you don't have to track space-dust on my carpet again."" 

He taps his datapad and offers it, and you perform the mundane ritual which will ensure that anyone who wants to crack your mutual comms will, at least, have to put some effort into the task.",gaKA_arroyoLeave1:Continue,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
# Conversation!,,,,,,,
,,,,,,,
vulpChat_openGeneric,OpenVulpoidChatDialog,,FireBest VulpoidChatGreeting,"You invite $personName to your cabin, and she arrives promptly.",,,
vulpChat_openVulpoid,OpenVulpoidChatDialog,$vulp_profectoAssignment == vulpoids score:100,FireBest VulpoidChatGreeting,"You order a Vulpoid defrosted and sent to you. A short while later, she excitedly hurries through your cabin door.",,,
vulpChat_openSleeper,OpenVulpoidChatDialog,$vulp_profectoAssignment == special_vulpoid,FireBest VulpoidChatGreeting,"You order that $personName be defrosted and sent to you. A short while later, she arrives at your cabin.",,,
vulpChat_openEmbarked,OpenVulpoidChatDialog,$vulp_profectoAssignment == special_vulpoid_embarked,FireBest VulpoidChatGreeting,"You send a message to $personName asking that she meet with you, and she arrives promptly to your cabin.",,,
vulpChat_openOfficer,OpenVulpoidChatDialog,$vulp_profectoAssignment == special_vulpoid_officer,FireBest VulpoidChatGreeting,"You send a message to $personName asking that she meet with you. A short shuttle flight later, she arrives at your cabin.",,,
vulpChat_openAdmin,OpenVulpoidChatDialog,$vulp_profectoAssignment == special_vulpoid_admin,FireBest VulpoidChatGreeting,"You send a message to $personName asking that she meet with you, and she arrives promptly to your cabin.",,,
vulpChat_greetingGeneric,VulpoidChatGreeting,$vulp_profectoAssignment == vulpoids score:100 score:100,FireAll VulpoidChatTopLevelOptions,"""Hi $PlayerSirOrMadam! It's so nice to see you! Do you want to do anything?""",,,
vulpChat_greetingSleeperLow,VulpoidChatGreeting,"$rel < 0.75
$vulp_profectoAssignment == special_vulpoid",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. I was having a lovely dream, but I suppose that's not important. Is there anything I can help you with?""",,,
vulpChat_greetingSleeperHigh,VulpoidChatGreeting,"$rel >= 0.75
$vulp_profectoAssignment == special_vulpoid",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! It's always so nice to speak with you, almost like I'm still dreaming! What can I do for you?""",,,
vulpChat_greetingEmbarkedLow,VulpoidChatGreeting,"$rel < 0.75
$vulp_profectoAssignment == special_vulpoid_embarked",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. Apologies for the short wait, I was middle of something. What can I help you with?""",,,
vulpChat_greetingEmbarkedHigh,VulpoidChatGreeting,"$rel >= 0.75
$vulp_profectoAssignment == special_vulpoid_embarked",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! I came as soon as I got your message! What can I do for you?""",,,
vulpChat_greetingOfficerIdleLow,VulpoidChatGreeting,"$rel < 0.75
!$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_officer",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. I'm ready to assume command of a vessel at your leisure. Until then, can I help you with anything?""",,,
vulpChat_greetingOfficerIdleHigh,VulpoidChatGreeting,"$rel >= 0.75
!$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_officer",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! I'm ready to command a vessel whenever you like! But for now, what can I do for you?""",,,
vulpChat_greetingOfficerActiveLow,VulpoidChatGreeting,"$rel < 0.75
$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_officer",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. All shipboard systems are nominal, but I suppose you didn't need me in person for that. How can I help you?""",,,
vulpChat_greetingOfficerActiveHigh,VulpoidChatGreeting,"$rel >= 0.75
$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_officer",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! All systems are nominal, and crew morale is high! Can I do anything else for you?""",,,
vulpChat_greetingAdminIdleLow,VulpoidChatGreeting,"$rel < 0.75
!$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_admin",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. My workstations are ready to administrate a colony at your leisure. Until then, can I help you with anything?""",,,
vulpChat_greetingAdminIdleHigh,VulpoidChatGreeting,"$rel >= 0.75
!$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_admin",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! I've got everything set up for colony administration whenever you need me! For now though, what can I do for you?""",,,
vulpChat_greetingAdminActiveLow,VulpoidChatGreeting,"$rel < 0.75
$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_admin",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. Reports from the colony indicate everything is proceeding as well as can be expected. What can I help you with?""",,,
vulpChat_greetingAdminActiveHigh,VulpoidChatGreeting,"$rel >= 0.75
$profectoIsAssigned
$vulp_profectoAssignment == special_vulpoid_admin",FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam! Reports from the colony show things are proceeding at or above expectation! Anything else I can do for you?""",,,
vulpChat_greetingFailsafe,VulpoidChatGreeting,,FireAll VulpoidChatTopLevelOptions,"""Hello $PlayerSirOrMadam. How can I help you?""",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
vulpChatAssignment_inquireOptionDefault,VulpoidChatTopLevelOptions,,,,vulpChatAssignment_inquire:Discuss assignment,,
,,,,,,,
,,,,,,,
vulpChatAssignment_addPopulationOption,VulpoidChatTopLevelOptions,"$vulp_profectoAssignment == vulpoids
VulpoidPopulation getUpgradeableColony",,,vulpChatAssignment_addPopulation:Distribute Vulpoids to $vulp_upgradeableMarketName,,
vulpChatAssignment_disableAddPopulationOption,VulpoidChatTopLevelOptions,!PlayerHasCargo vulpoids $vulp_upgradeableMarketRequirements,"SetEnabled vulpChatAssignment_addPopulation false
SetTooltip vulpChatAssignment_addPopulation ""You'd need at least $vulp_upgradeableMarketRequirements Vulpoids to meaningfully increase the local Vulpoid population.""",,,,
vulpChatAssignment_addPopulation,DialogOptionSelected,$option == vulpChatAssignment_addPopulation,"SetTextHighlights ""$vulp_upgradeableMarketRequirements""","Distributing $vulp_upgradeableMarketRequirements Vulpoids across $vulp_upgradeableMarketName will increase the size of its local Vulpoid population. This will likely improve market stability, immigration, and may make it possible to operate additional workforces.","vulpChatAssignment_addPopulationAccept:Accept
vulpChatAssignment_addPopulationCancel:Cancel",,
vulpChatAssignment_addPopulationAccept,DialogOptionSelected,$option == vulpChatAssignment_addPopulationAccept,SetVulpoidExpression default,"You inform the Vulpoid that she'll be going to $vulp_upgradeableMarketName along with a number of her sisters.

""Okay $playerSirOrMadam! I'll go get ready right away, I promise we'll all make you proud!""",vulpChatAssignment_addPopulationAccept1:Continue,,
vulpChatAssignment_addPopulationAccept1,DialogOptionSelected,$option == vulpChatAssignment_addPopulationAccept1,"VulpoidPopulation vulp_doColonyUpgrade
RemoveCommodity vulpoids $vulp_upgradeableMarketRequirements
ExitRulesToPlugin","She hurries from your cabin, and you inform your quartermaster to begin loading shuttles.",,,
vulpChatAssignment_addPopulationCancel,DialogOptionSelected,$option == vulpChatAssignment_addPopulationCancel,FireAll VulpoidChatTopLevelOptions,,,,
,,,,,,,
vulpChatAssignment_pickResearchOption,VulpoidChatTopLevelOptions,$vulp_profectoAssignment == special_vulpoid_embarked,,,vulpChatAssignment_pickResearch:Assign a research project,,
vulpChatAssignment_disableResearchOptionIfAlreadyActive,VulpoidChatTopLevelOptions,$vulp_researchProject != null,"SetEnabled vulpChatAssignment_pickResearch false
SetTooltip vulpChatAssignment_pickResearch ""$name is already working on a project.""",,,,
vulpChatAssignment_pickResearch,DialogOptionSelected,$option == vulpChatAssignment_pickResearch,FireAll VulpoidPickResearchOptions,,,,
vulpChatAssignment_devFinishResearchOption,VulpoidChatTopLevelOptions,"$global.isDevMode
$vulp_researchCompletionDay > 0",SetOptionColor vulpChatAssignment_devFinishResearch gray,,200:vulpChatAssignment_devFinishResearch:>> (dev) Instantly finish research,,
vulpChatAssignment_devFinishResearch,DialogOptionSelected,$option == vulpChatAssignment_devFinishResearch,"$vulp_researchCompletionDay = 0
DismissDialog",,,,
,,,,,,,
#vulpChatAssignment_levelDownOfficerOption,VulpoidChatTopLevelOptions,$vulp_profectoAssignment == special_vulpoid_officer,,,vulpChatAssignment_levelDownOfficer:Retrain a skill,# TODO,
,,,,,,,
,,,,,,,
,,,,,,,
vulpChatSurroundingsOption,VulpoidChatTopLevelOptions,,,,vulpChatSurroundings:Socialize about surroundings,,
vulpChatSurroundings,DialogOptionSelected,$option == vulpChatSurroundings,OpenListBasedDialog localEntities VulpoidChatTopLevelOptions,,,,
,,,,,,,
#vulpChatCurrentAffairsOption,VulpoidChatTopLevelOptions,,,,vulpChatCurrentAffairs:Socialize about current affairs,# TODO,
#vulpChatCurrentAffairs,DialogOptionSelected,$option == vulpChatCurrentAffairs,OpenListBasedDialog currentAffairs VulpoidChatTopLevelOptions,,,,
,,,,,,,
vulpChatPetOption,VulpoidChatTopLevelOptions,,,,vulpChatPet:Pet,,
vulpChatPet,DialogOptionSelected,$option == vulpChatPet,OpenListBasedDialog VulpoidPettingOptions VulpoidChatTopLevelOptions,,,,
,,,,,,,
vulpChatPet_giftOption,VulpoidChatTopLevelOptions,,,,vulpChatPet_gift:Offer gifts,,
vulpChatPet_gift,DialogOptionSelected,$option == vulpChatPet_gift,OpenListBasedDialog VulpoidPettingGiftOptions VulpoidChatTopLevelOptions,,,,
,,,,,,,
vulpChat_exitOption,VulpoidChatTopLevelOptions,,"SetShortcut vulpChat_exit ""ESCAPE""",,100:vulpChat_exit:Dismiss,,
vulpChat_exit,DialogOptionSelected,$option == vulpChat_exit,"HideFirstPerson
ExitRulesToPlugin",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
# Chitchat about current assignment,,,,,,,
vulpChatAssignment_inquireDefault,DialogOptionSelected,$option == vulpChatAssignment_inquire,SetVulpoidExpression default,"""Not much to say, really.""",,"# Generic, should not fire",
vulpChatAssignment_inquireDummy,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == vulpoids score:100",SetVulpoidExpression default,"""Oh it's great! I get to stay asleep, and wake up whenever you want me to do something! You're so nice!""",,# Dummy,
vulpChatAssignment_inquireIdle,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid",SetVulpoidExpression default,"""Could be worse. Not that I love being in cryosleep, but it means I get to skip the boring parts.""",,# Cryosleeping,
vulpChatAssignment_inquireEmbarked,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid_embarked",SetVulpoidExpression default,"""I'm having fun! Your crew's pretty nice, they draw lots to decide who gets to pamper me each day.""",,"# Embarked, not doing anything",
vulpChatAssignment_inquireEmbarkedResearch_Working,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid_embarked
$vulp_researchProject != null",SetVulpoidExpression default,"""The project is going well! Any chance of getting more assistants? I could use another one to brush my tail while I'm getting headpats.""",,"# Embarked, actively researching (generic)",
vulpChatAssignment_inquireOfficer,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid_officer",SetVulpoidExpression default,"""Command is going smoothly. The crew love me, of course, but it's hard having to send them into danger.""",,"# TODO - use a command to reference the commanded ship, if any. Have callouts for unassigned, assigned civ, assigned combat, zig, etc.",
vulpChatAssignment_inquireAdmin,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid_admin",SetVulpoidExpression default,"""Colony administration is going nicely! I might make an in-person visit some time, see if the rec facilities are up to standard.""",,"# TODO - use a command to reference the administrated colony, if any",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
# Research picker options,,,,,,,
vulpChatAssignment_pickResearchOption_exit,VulpoidPickResearchOptions,,SetShortcut vulpChatAssignment_pickResearch_exit ESCAPE,,100:vulpChatAssignment_pickResearch_exit:Back,,
vulpChatAssignment_pickResearch_exit,DialogOptionSelected,$option == vulpChatAssignment_pickResearch_exit,FireAll VulpoidChatTopLevelOptions,,,,
,,,,,,,
# Greeting overrides for completed research,,,,,,,
vulpChat_greetingResearchComplete,VulpoidChatGreeting,VulpoidResearch isComplete score:1000,"FireBest VulpoidResearchComplete
unset $vulp_researchProject",,,,
vulpChat_researchCompleteFinish,DialogOptionSelected,$option == vulpChat_researchCompleteFinish,"FireAll VulpoidChatTopLevelOptions
SetVulpoidExpression default","""Was there anything else you wanted to discuss, $playerSirOrMadam?""",,,
,,,,,,,
# Terraformer Research,,,,,,,
vulpChatAssignment_pickResearchOption_terraformer,VulpoidPickResearchOptions,"$id == laisa
!$player.vulp_gotTerraformerMission",,,vulpChatAssignment_pickResearch_terraformer:Insights into the Citadel,,
vulpChatAssignment_pickResearch_terraformerUnable,DialogOptionSelected,"$option == vulpChatAssignment_pickResearch_terraformer
!$hasAlphaCore",SetVulpoidExpression bruh,"""Most of what's left is just encrypted computer records. We've already cracked everything we can, everything else is just metadata.""

""There's a couple things that are technically leads, but practically they might as well be dead ends. With the state the Sector's in, there's no way I could get the computational resources I'd need to make progress.""",vulpChatAssignment_pickResearch:Cancel,,
vulpChatAssignment_pickResearch_terraformer,DialogOptionSelected,"$option == vulpChatAssignment_pickResearch_terraformer
$hasAlphaCore","SetStoryOption vulpChatAssignment_pickResearch_terraformerConfirm 4 vulpChatAssignment_pickResearch_terraformerConfirm general ""Had Laisa perform research into old Citadel transmission logs""
SetVulpoidExpression bruh","""Most of what's left is just encrypted computer records. We've already cracked everything we can, everything else is just metadata.""

""...Actually, there is one thing I can think of. Some old post-Collapse transmission logs that showed some odd activity. It was a dead end before, but with my, ahem, 'computational assets' I may be able to make progress again.""

""I'll need to do a lot of research on hyperwave theory though, it will take a lot of time.""","vulpChatAssignment_pickResearch_terraformerConfirm:Confirm
vulpChatAssignment_pickResearch:Cancel",,
vulpChatAssignment_pickResearch_terraformerConfirm,DialogOptionSelected,$option == vulpChatAssignment_pickResearch_terraformerConfirm,"SetVulpoidExpression default
VulpoidResearch setProject terraformer 360
FireAll VulpoidChatTopLevelOptions","""Alright, I'll look into it!""",,,
# Terraformer In Progress,,,,,,,
vulpChatAssignment_inquireEmbarkedResearch_terraformer,DialogOptionSelected,"$option == vulpChatAssignment_inquire
$vulp_profectoAssignment == special_vulpoid_embarked
$vulp_researchProject == terraformer score:100",SetVulpoidExpression bruh,"""Research is going well. I won't lie though, it's a lot of work. I may need to increase my coolant budget again.""",,,
# Terraformer Completed,,,,,,,
vulpChat_researchComplete_terraformer,VulpoidResearchComplete,$vulp_researchProject == terraformer,,"Laisa enters carrying a small library of datapads, which she eagerly lays out in presentation.

""Great news $playerSirOrMadam. I've had a breakthrough in my analysis.""",vulpChat_researchComplete_terraformer1:Continue,,
vulpChat_researchComplete_terraformer1,DialogOptionSelected,$option == vulpChat_researchComplete_terraformer1,,"She presents you with a datapad showing the encrypted transmission logs from the Citadel. A particular comms address has been highlighted, with records dating up to several decades post-Collapse.

""This is an old Eridani-Utopia record I'd always had interest in. Never knew exactly who it was, but it must have been a ship, because after the Collapse the spectrum indicated hyperspace travel. Heading towards the Persean Sector at about burn 7, going by the redshift.""",vulpChat_researchComplete_terraformer2:Continue,,
vulpChat_researchComplete_terraformer2,DialogOptionSelected,$option == vulpChat_researchComplete_terraformer2,,"""Here's what's new,"" she highlights a particular section, ""After the Collapse the encryption algorithm changed from the cross-corporate standard to a more secure one that I could never crack.""

""From historical records, now I know why I didn't have a hope. The encoding they switched to was a Domain Navy standard.""","vulpChat_researchComplete_terraformer3:""The Fourteenth Battlegroup.""",,
vulpChat_researchComplete_terraformer3,DialogOptionSelected,$option == vulpChat_researchComplete_terraformer3,,"She gives you a satisfied nod, then points out a specific transmission.

""This one, here. Massive interference, never seen anything like that. Whole transmission got corrupted. Must have destroyed their comms array too, because everything after that came through on the experimental phased array.""","vulpChat_researchComplete_terraformer4:Keep listening
vulpChat_researchComplete_terraformer3Clever:""So they would've lost contact with the XIV.""",,
vulpChat_researchComplete_terraformer3Clever,DialogOptionSelected,$option == vulpChat_researchComplete_terraformer3Clever,,"""Yes!"" she jumps excitedly, ""Presumably they wanted us to relay the message, but all the humans had evacuated by then. Eridani never gave me their codes, so all I knew is that they were trying to tell us something.""",vulpChat_researchComplete_terraformer4:Continue,,
